0,1,2
641037848527945728,Wrote,O
641037848527945728,about,O
641037848527945728,Effexor,B-Drug
641037848527945728,XR,O
641037848527945728,withdrawal,B-Symptom
641037848527945728,today,O
641037848527945728,",",O
641037848527945728,recalled,O
641037848527945728,vividly,O
641037848527945728,at,O
641037848527945728,the,O
641037848527945728,time,O
641037848527945728,my,B-Symptom
641037848527945728,brain,I-Symptom
641037848527945728,felt,I-Symptom
641037848527945728,like,I-Symptom
641037848527945728,a,I-Symptom
641037848527945728,raw,I-Symptom
641037848527945728,pork,I-Symptom
641037848527945728,shoulder,I-Symptom
641037848527945728,inside,I-Symptom
641037848527945728,a,I-Symptom
641037848527945728,spinning,I-Symptom
641037848527945728,fishbowl,I-Symptom
641037848527945728,.,O
641057671714635777,Is,O
641057671714635777,steroid,O
641057671714635777,induced,O
641057671714635777,psychosis,O
641057671714635777,a,O
641057671714635777,thing,O
641057671714635777,?,O
641057671714635777,(,O
641057671714635777,Like,O
641057671714635777,short,O
641057671714635777,term,O
641057671714635777,prednisone,B-Drug
641057671714635777,tx,O
641057671714635777,),O
641060757283561472,Paxil,B-Drug
641060757283561472,withdrawal,O
641060757283561472,update,O
641060757283561472,:,O
641060757283561472,still,O
641060757283561472,on,O
641060757283561472,1,O
641060757283561472,/,O
641060757283561472,2,O
641060757283561472,pill,O
641060757283561472,every,O
641060757283561472,other,O
641060757283561472,day,O
641060757283561472,",",O
641060757283561472,so,O
641060757283561472,sleepy,B-Symptom
641060757283561472,",",O
641060757283561472,dizzy,B-Symptom
641060757283561472,and,O
641060757283561472,a,O
641060757283561472,little,O
641060757283561472,sad,B-Symptom
641060757283561472,",",O
641060757283561472,Since,O
641060757283561472,I,O
641060757283561472,know,O
641060757283561472,the,O
641060757283561472,reason,O
641060757283561472,it,O
641060757283561472,',O
641060757283561472,s,O
641060757283561472,ok,O
641060757283561472,.,O
641060757283561472,…,O
641060757283561472,over,O
641060757283561472,soon,O
641060757283561472,!,O
641088566336950272,Doc,O
641088566336950272,upped,O
641088566336950272,my,O
641088566336950272,depression,B-Disease
641088566336950272,/,O
641088566336950272,anxiety,B-Symptom
641088566336950272,med,O
641088566336950272,dosage,O
641088566336950272,and,O
641088566336950272,omg,O
641088566336950272,.,O
641088566336950272,.,O
641088566336950272,.,O
641088566336950272,.,O
641088566336950272,I,O
641088566336950272,feel,B-Symptom
641088566336950272,like,I-Symptom
641088566336950272,I,I-Symptom
641088566336950272,am,I-Symptom
641088566336950272,dying,I-Symptom
641088566336950272,!,O
641088566336950272,Anyone,O
641088566336950272,else,O
641088566336950272,take,O
641088566336950272,Effexor,B-Drug
641088566336950272,?,O
641091338268733440,Has,O
641091338268733440,anyone,O
641091338268733440,ever,O
641091338268733440,taken,O
641091338268733440,Cymbalta,B-Drug
641091338268733440,and,O
641091338268733440,experienced,O
641091338268733440,severe,O
641091338268733440,side,O
641091338268733440,effects,O
641091338268733440,when,O
641091338268733440,coming,O
641091338268733440,off,O
641091338268733440,of,O
641091338268733440,it,O
641091338268733440,?,O
641091338268733440,?,O
641091338268733440,?,O
641091338268733440,#,B-Drug
641091338268733440,Cymbalta,I-Drug
641091338268733440,#,O
641091338268733440,Medication,O
641091338268733440,#,B-Disease
641091338268733440,Depression,I-Disease
641091338268733440,#,O
641091338268733440,Help,O
641091338268733440,#,O
641091338268733440,Me,O
641096821763215361,@,O
641096821763215361,_,O
641096821763215361,Cas,O
641096821763215361,_,O
641096821763215361,Novak,O
641096821763215361,_,O
641096821763215361,@,O
641096821763215361,T21ASDMommy,O
641096821763215361,I,O
641096821763215361,take,O
641096821763215361,Paxil,B-Drug
641096821763215361,for,O
641096821763215361,my,O
641096821763215361,anxiety,B-Symptom
641096821763215361,.,O
641096821763215361,It,O
641096821763215361,helps,O
641096821763215361,quite,O
641096821763215361,a,O
641096821763215361,bit,O
641096821763215361,.,O
641195184517193728,The,O
641195184517193728,Scottish,O
641195184517193728,Medicines,O
641195184517193728,Consortium,O
641195184517193728,has,O
641195184517193728,approved,O
641195184517193728,bevacizumab,B-Drug
641195184517193728,for,O
641195184517193728,patients,O
641195184517193728,with,O
641195184517193728,recurrent,O
641195184517193728,ovarian,B-Disease
641195184517193728,cancer,I-Disease
641195184517193728,resistant,O
641195184517193728,to,O
641195184517193728,a,O
641195184517193728,form,O
641195184517193728,of,O
641195184517193728,chemotherapy,O
641195184517193728,.,O
641224931573932032,Fuck,O
641224931573932032,.,O
641224931573932032,I,O
641224931573932032,am,O
641224931573932032,really,O
641224931573932032,not,O
641224931573932032,in,O
641224931573932032,a,O
641224931573932032,good,O
641224931573932032,or,O
641224931573932032,safe,O
641224931573932032,place,O
641224931573932032,to,O
641224931573932032,be,O
641224931573932032,going,O
641224931573932032,on,O
641224931573932032,day,O
641224931573932032,two,O
641224931573932032,of,O
641224931573932032,unintentional,O
641224931573932032,Cymbalta,B-Drug
641224931573932032,cold,B-Symptom
641224931573932032,turkey,I-Symptom
641224931573932032,.,O
641260283336388609,Switched,O
641260283336388609,from,O
641260283336388609,Tamoxifen,B-Drug
641260283336388609,",",O
641260283336388609,2,O
641260283336388609,yrs,O
641260283336388609,after,O
641260283336388609,double,O
641260283336388609,boobectomies,O
641260283336388609,",",O
641260283336388609,to,O
641260283336388609,Anastrozole,O
641260283336388609,.,O
641260283336388609,The,O
641260283336388609,angst,O
641260283336388609,is,O
641260283336388609,gone,O
641260283336388609,.,O
641260283336388609,Energy,B-Symptom
641260283336388609,way,O
641260283336388609,up,O
641260283336388609,.,O
641260283336388609,Woohoo,O
641260283336388609,!,O
641260283336388609,#,O
641260283336388609,mywana,O
641260283336388609,#,B-Disease
641260283336388609,breastcancer,I-Disease
641297615313862657,Why,O
641297615313862657,am,O
641297615313862657,I,O
641297615313862657,only,O
641297615313862657,capable,O
641297615313862657,of,O
641297615313862657,being,O
641297615313862657,productive,O
641297615313862657,whilst,O
641297615313862657,on,O
641297615313862657,drugs,O
641297615313862657,?,O
641297615313862657,?,O
641297615313862657,?,O
641297615313862657,Ritalin,B-Drug
641297615313862657,comedown,O
641297615313862657,is,O
641297615313862657,not,O
641297615313862657,fun,O
641297615313862657,😒,O
641297615313862657,#,O
641297615313862657,adhdprobs,O
641332868631953410,Really,O
641332868631953410,skinny,O
641332868631953410,her,O
641332868631953410,stomach,O
641332868631953410,is,O
641332868631953410,bloated,O
641332868631953410,and,O
641332868631953410,she,O
641332868631953410,has,O
641332868631953410,a,O
641332868631953410,growth,O
641332868631953410,in,O
641332868631953410,his,O
641332868631953410,chest,O
641332868631953410,lupus,O
641332868631953410,scar,O
641332868631953410,tissue,O
641332868631953410,on,O
641332868631953410,her,O
641332868631953410,lungs,O
641332868631953410,they,O
641332868631953410,put,O
641332868631953410,her,O
641332868631953410,back,O
641332868631953410,on,O
641332868631953410,prednisone,B-Drug
641332868631953410,to,O
641332868631953410,.,O
641332868631953410,.,O
641332868631953410,.,O
641362993414979588,lke,O
641362993414979588,i,O
641362993414979588,',O
641362993414979588,m,O
641362993414979588,wondering,O
641362993414979588,if,O
641362993414979588,i,O
641362993414979588,take,O
641362993414979588,half,O
641362993414979588,a,O
641362993414979588,seroquel,B-Drug
641362993414979588,would,O
641362993414979588,cancel,O
641362993414979588,out,O
641362993414979588,the,O
641362993414979588,effects,O
641362993414979588,mad,O
641362993414979588,dizziness,B-Symptom
641362993414979588,wellbutrin,O
641362993414979588,is,O
641362993414979588,giving,O
641362993414979588,me,O
641374171382042624,Started,O
641374171382042624,trazodone,B-Drug
641374171382042624,for,O
641374171382042624,depression,B-Disease
641374171382042624,and,O
641374171382042624,insomnia,B-Symptom
641374171382042624,yesterday,O
641374171382042624,.,O
641374171382042624,I,O
641374171382042624,feel,O
641374171382042624,like,O
641374171382042624,a,O
641374171382042624,zzzombie,O
641374171382042624,today,O
641374171382042624,.,O
641374171382042624,*,O
641374171382042624,crashes,O
641374171382042624,*,O
641386980207497216,Paxil,B-Drug
641386980207497216,just,O
641386980207497216,isn,O
641386980207497216,',O
641386980207497216,t,O
641386980207497216,working,O
641386980207497216,",",O
641386980207497216,is,O
641386980207497216,a,O
641386980207497216,part,O
641386980207497216,of,O
641386980207497216,it,O
641386980207497216,.,O
641386980207497216,And,O
641386980207497216,my,O
641386980207497216,anxiety,B-Symptom
641386980207497216,is,O
641386980207497216,peaking,O
641386980207497216,so,O
641386980207497216,badly,O
641386980207497216,doing,O
641386980207497216,normal,O
641386980207497216,person,O
641386980207497216,stuff,O
641386980207497216,",",O
641386980207497216,some,O
641386980207497216,days,O
641386980207497216,all,O
641386980207497216,I,B-Symptom
641386980207497216,can,I-Symptom
641386980207497216,do,I-Symptom
641386980207497216,is,I-Symptom
641386980207497216,stay,I-Symptom
641386980207497216,home,I-Symptom
641392359196852228,See,O
641392359196852228,this,O
641392359196852228,incredibly,O
641392359196852228,elaborate,O
641392359196852228,Minecraft,O
641392359196852228,recreation,O
641392359196852228,of,O
641392359196852228,(,O
641392359196852228,insert,O
641392359196852228,clickbait,O
641392359196852228,here,O
641392359196852228,),O
641392359196852228,fueled,O
641392359196852228,by,O
641392359196852228,crippling,O
641392359196852228,autism,B-Disease
641392359196852228,and,O
641392359196852228,Ritalin,B-Drug
641392359196852228,.,O
641436658546532353,SOR,O
641436658546532353,A,O
641436658546532353,for,O
641436658546532353,migraine,O
641436658546532353,prophylaxis,O
641436658546532353,:,O
641436658546532353,propranolol,O
641436658546532353,",",O
641436658546532353,topiramate,B-Drug
641436658546532353,",",O
641436658546532353,amitriptyline,O
641436658546532353,",",O
641436658546532353,&,O
641436658546532353,amp,O
641436658546532353,;,O
641436658546532353,valproic,O
641436658546532353,acid,O
641436658546532353,.,O
641436658546532353,Consider,O
641436658546532353,if,O
641436658546532353,2,O
641436658546532353,+,O
641436658546532353,debilitating,O
641436658546532353,headaches,B-Symptom
641436658546532353,per,O
641436658546532353,month,O
641436658546532353,.,O
641446875825065984,everyone,O
641446875825065984,should,O
641446875825065984,take,O
641446875825065984,trazodone,B-Drug
641446875825065984,once,O
641446875825065984,in,O
641446875825065984,their,O
641446875825065984,life,O
641446875825065984,",",O
641446875825065984,even,O
641446875825065984,if,O
641446875825065984,they,O
641446875825065984,don,O
641446875825065984,',O
641446875825065984,t,O
641446875825065984,suffer,O
641446875825065984,from,O
641446875825065984,insomnia,B-Symptom
641446875825065984,.,O
641446875825065984,like,O
641446875825065984,.,O
641446875825065984,.,O
641446875825065984,.,O
641446875825065984,.,O
641446875825065984,the,O
641446875825065984,deepest,O
641446875825065984,",",O
641446875825065984,sleeping,B-Symptom
641446875825065984,beauty,I-Symptom
641446875825065984,sleep,I-Symptom
641505169167941632,when,O
641505169167941632,you,O
641505169167941632,on,O
641505169167941632,meds,O
641505169167941632,like,O
641505169167941632,Zoloft,B-Drug
641505169167941632,and,O
641505169167941632,Paxil,B-Drug
641505169167941632,and,O
641505169167941632,to,O
641505169167941632,withdrawals,B-Symptom
641505169167941632,makes,O
641505169167941632,you,O
641505169167941632,wanna,O
641505169167941632,kave,O
641505169167941632,somebody,O
641505169167941632,head,O
641505169167941632,in,O
641505169167941632,󾌦,O
641564332774563840,8th,O
641564332774563840,chemo,O
641564332774563840,going,O
641564332774563840,to,O
641564332774563840,be,O
641564332774563840,hard,O
641564332774563840,avastin,B-Drug
641564332774563840,pemexted,O
641564332774563840,cisplatin,O
641564332774563840,cocktail,O
641564332774563840,",",O
641564332774563840,then,O
641564332774563840,I,O
641564332774563840,hope,O
641564332774563840,a,O
641564332774563840,break,O
641564332774563840,",",O
641564332774563840,nerve,B-Symptom
641564332774563840,damage,I-Symptom
641564332774563840,in,O
641564332774563840,feet,O
641564332774563840,and,O
641564332774563840,hands,O
641564332774563840,improving,O
641564332774563840,",",O
641564332774563840,tinetus,B-Symptom
641564332774563840,not,O
641564332774563840,:,O
641564332774563840,(,O
