0,1,2
466073644209156096,Association,O
466073644209156096,between,O
466073644209156096,small,B-Disease
466073644209156096,-,I-Disease
466073644209156096,vessel,I-Disease
466073644209156096,disease,I-Disease
466073644209156096,",",O
466073644209156096,Alzheimer,B-Disease
466073644209156096,pathology,O
466073644209156096,studied,O
466073644209156096,:,O
466073644209156096,Cerebral,B-Disease
466073644209156096,small,I-Disease
466073644209156096,-,I-Disease
466073644209156096,vessel,I-Disease
466073644209156096,disease,I-Disease
466073644209156096,and,O
466073644209156096,Alzhe,B-Disease
466073644209156096,.,O
466073644209156096,.,O
466073644209156096,.,O
466073644209156096,http,O
466073644209156096,:,O
466073644209156096,/,O
466073644209156096,/,O
466073644209156096,t,O
466073644209156096,.,O
466073644209156096,co,O
466073644209156096,/,O
466073644209156096,9YHxLDURew,O
466091939730030592,I,O
466091939730030592,don,O
466091939730030592,',O
466091939730030592,t,O
466091939730030592,wanna,O
466091939730030592,drown,O
466091939730030592,in,O
466091939730030592,the,O
466091939730030592,rain,O
466091939730030592,.,O
466091939730030592,I,O
466091939730030592,don,O
466091939730030592,',O
466091939730030592,t,O
466091939730030592,wanna,O
466091939730030592,be,O
466091939730030592,blind,B-Symptom
466091939730030592,from,O
466091939730030592,the,O
466091939730030592,shine,O
466091939730030592,of,O
466091939730030592,the,O
466091939730030592,fame,O
466091939730030592,",",O
466091939730030592,or,O
466091939730030592,be,O
466091939730030592,broken,O
466091939730030592,under,O
466091939730030592,pressure,O
466091939730030592,stuck,O
466091939730030592,in,O
466091939730030592,pain,B-Symptom
466091939730030592,.,O
466091939730030592,#,O
466091939730030592,Lee,O
466095676883873792,RT,O
466095676883873792,@,O
466095676883873792,DhesiBahaRaja,O
466095676883873792,:,O
466095676883873792,⚠,O
466095676883873792,️,O
466095676883873792,Important,O
466095676883873792,Message,O
466095676883873792,;,O
466095676883873792,Malaysia,O
466095676883873792,is,O
466095676883873792,No,O
466095676883873792,.,O
466095676883873792,1,O
466095676883873792,in,O
466095676883873792,S,O
466095676883873792,/,O
466095676883873792,E,O
466095676883873792,Asia,O
466095676883873792,for,O
466095676883873792,#,O
466095676883873792,obesity,B-Disease
466095676883873792,.,I-Disease
466095676883873792,43,O
466095676883873792,%,O
466095676883873792,obese,B-Disease
466095676883873792,adults,O
466095676883873792,",",O
466095676883873792,38,O
466095676883873792,%,O
466095676883873792,overweight,B-Disease
466095676883873792,children,O
466095676883873792,&,O
466095676883873792,amp,O
466095676883873792,;,O
466095676883873792,60,O
466095676883873792,%,O
466095676883873792,aged,O
466095676883873792,&,O
466095676883873792,gt,O
466095676883873792,;,O
466095676883873792,18,O
466095676883873792,…,O
466101221754163200,Walking,O
466101221754163200,to,O
466101221754163200,work,O
466101221754163200,cuts,O
466101221754163200,risk,O
466101221754163200,of,O
466101221754163200,obesity,B-Disease
466101221754163200,and,O
466101221754163200,diabetes,B-Disease
466101221754163200,.,O
466101221754163200,http,O
466101221754163200,:,O
466101221754163200,/,O
466101221754163200,/,O
466101221754163200,t,O
466101221754163200,.,O
466101221754163200,co,O
466101221754163200,/,O
466101221754163200,ZaxiB4Tnh6,O
466107328660795392,@,O
466107328660795392,OscarTrial199,O
466107328660795392,He,O
466107328660795392,',O
466107328660795392,s,O
466107328660795392,a,O
466107328660795392,control,O
466107328660795392,freak,O
466107328660795392,-,O
466107328660795392,that,O
466107328660795392,',O
466107328660795392,s,O
466107328660795392,not,O
466107328660795392,a,O
466107328660795392,psychiatric,B-Disease
466107328660795392,condition,I-Disease
466107328660795392,",",O
466107328660795392,or,O
466107328660795392,an,O
466107328660795392,anxiety,B-Disease
466107328660795392,disorder,I-Disease
466107328660795392,!,O
466107328660795392,Complete,O
466107328660795392,waste,O
466107328660795392,of,O
466107328660795392,time,O
466107328660795392,",",O
466107328660795392,money,O
466107328660795392,&,O
466107328660795392,amp,O
466107328660795392,;,O
466107328660795392,resources,O
466112043049701376,@,O
466112043049701376,rachjohnson0,O
466112043049701376,@,O
466112043049701376,DailyDose248,O
466112043049701376,@,O
466112043049701376,LoraRoule,O
466112043049701376,previous,O
466112043049701376,breakdown,O
466112043049701376,.,O
466112043049701376,.,O
466112043049701376,.,O
466112043049701376,omg,O
466112043049701376,please,O
466112043049701376,stop,O
466112043049701376,!,O
466112043049701376,Those,O
466112043049701376,shaking,O
466112043049701376,hands,O
466112043049701376,and,O
466112043049701376,Tori,O
466112043049701376,!,O
466112043049701376,Are,O
466112043049701376,you,O
466112043049701376,ok,O
466112043049701376,?,O
466112043049701376,Is,O
466112043049701376,it,O
466112043049701376,a,O
466112043049701376,migraine,B-Disease
466112043049701376,?,O
466112043049701376,Oh,O
466130938393403392,@,O
466130938393403392,el,O
466130938393403392,_,O
466130938393403392,diabl0,O
466130938393403392,_,O
466130938393403392,cake,O
466130938393403392,and,O
466130938393403392,you,O
466130938393403392,',O
466130938393403392,d,O
466130938393403392,probably,O
466130938393403392,be,O
466130938393403392,malnourished,B-Disease
